Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-01-01,BHARTIARTL,EQ,352.7,354.4,364.9,351.65,363.0,362.9,358.9,2217263,79576969150000.0,25445,1042436,0.47009999999999996
2015-01-02,BHARTIARTL,EQ,362.9,363.8,367.0,362.0,365.15,365.05,364.73,2519814,91904249210000.0,46461,1493017,0.5925
2015-01-05,BHARTIARTL,EQ,365.05,366.25,366.25,355.6,357.2,356.95,359.31,1446759,51983688455000.0,27848,688766,0.4761
2015-01-06,BHARTIARTL,EQ,356.95,356.1,356.1,348.4,354.5,354.15,353.79,3530178,124892624705000.0,59463,2725330,0.772
2015-01-07,BHARTIARTL,EQ,354.15,351.95,358.0,350.5,355.0,355.0,355.41,4415546,156934305460000.0,117150,3461811,0.784
2015-01-08,BHARTIARTL,EQ,355.0,356.55,362.95,353.15,359.5,361.15,360.66,6395881,230674551469999.97,92045,5531282,0.8648
2015-01-09,BHARTIARTL,EQ,361.15,362.5,364.9,353.95,354.0,355.8,357.68,3453422,123521311234999.98,80566,2137900,0.6191
2015-01-12,BHARTIARTL,EQ,355.8,355.7,355.7,347.1,348.75,348.95,349.12,2052141,71643502260000.0,68016,1344675,0.6553
2015-01-13,BHARTIARTL,EQ,348.95,349.9,352.3,344.3,346.9,346.3,348.64,1445773,50405344840000.0,57658,807101,0.5582
2015-01-14,BHARTIARTL,EQ,346.3,346.95,348.2,344.65,346.25,345.8,345.93,3077986,106477235105000.0,61697,2249431,0.7308
2015-01-15,BHARTIARTL,EQ,345.8,346.1,352.6,343.3,348.7,349.35,350.03,4475688,156662144295000.0,45587,3516207,0.7856000000000001
2015-01-16,BHARTIARTL,EQ,349.35,347.0,352.0,339.1,342.6,342.85,341.6,8813544,301068105065000.0,99529,7183712,0.8151
2015-01-19,BHARTIARTL,EQ,342.85,343.9,352.3,341.9,350.75,350.45,348.42,3050874,106299601555000.0,60956,1940324,0.636
2015-01-20,BHARTIARTL,EQ,350.45,350.45,357.0,348.05,354.1,354.9,353.18,2605572,92022304540000.0,47528,1609729,0.6178
2015-01-21,BHARTIARTL,EQ,354.9,355.0,370.0,354.5,368.2,369.0,365.61,4553897,166493083805000.0,62705,2518202,0.5529999999999999
2015-01-22,BHARTIARTL,EQ,369.0,373.35,373.95,361.15,369.5,370.0,368.55,2255707,83133712885000.0,39249,1259402,0.5583
2015-01-23,BHARTIARTL,EQ,370.0,372.95,387.75,372.0,383.25,384.1,382.39,5650375,216063978235000.0,84384,3527772,0.6243
2015-01-27,BHARTIARTL,EQ,384.1,382.7,395.0,381.6,393.5,394.2,389.64,4748323,185012905510000.0,61506,3171784,0.668
2015-01-28,BHARTIARTL,EQ,394.2,393.7,395.7,371.6,375.7,373.6,378.92,4047153,153353533335000.0,61580,2147412,0.5306000000000001
2015-01-29,BHARTIARTL,EQ,373.6,374.8,380.5,363.05,377.1,375.8,370.21,6797437,251648177560000.0,100662,4523165,0.6654000000000001
2015-01-30,BHARTIARTL,EQ,375.8,380.8,380.8,366.15,374.0,373.7,371.93,4875027,181316622335000.0,65846,3088889,0.6336
2015-02-02,BHARTIARTL,EQ,373.7,370.0,373.35,356.5,360.7,359.3,361.42,3746754,135416600395000.0,70323,2271354,0.6062
2015-02-03,BHARTIARTL,EQ,359.3,360.15,374.0,360.1,374.0,371.55,368.05,3823467,140721813534999.98,56849,2187733,0.5722
2015-02-04,BHARTIARTL,EQ,371.55,375.0,377.3,365.0,369.0,368.95,369.74,4988487,184442775945000.0,83281,2782425,0.5578000000000001
2015-02-05,BHARTIARTL,EQ,368.95,370.0,371.9,360.05,362.9,364.7,365.96,7443731,272413959144999.97,69590,5603018,0.7526999999999999
2015-02-06,BHARTIARTL,EQ,364.7,364.9,370.0,359.0,367.5,368.25,367.01,2991270,109783103130000.0,33591,1616868,0.5405
2015-02-09,BHARTIARTL,EQ,368.25,365.0,365.7,353.25,358.2,356.1,358.14,2731044,97810203985000.0,70846,1786561,0.6542
2015-02-10,BHARTIARTL,EQ,356.1,355.3,361.8,353.0,357.95,356.15,355.29,6171167,219252843215000.0,60755,4653094,0.7540000000000001
2015-02-11,BHARTIARTL,EQ,356.15,356.95,360.65,348.0,360.5,356.1,352.44,3144877,110837268595000.0,38084,2023352,0.6434000000000001
2015-02-12,BHARTIARTL,EQ,356.1,359.0,359.85,349.3,353.45,352.7,351.48,3931238,138176498550000.0,64336,2606513,0.663
2015-02-13,BHARTIARTL,EQ,352.7,353.8,356.5,349.3,356.45,355.0,352.67,3044239,107360077980000.0,51915,1858801,0.6106
2015-02-16,BHARTIARTL,EQ,355.0,353.0,365.45,352.0,362.0,361.35,362.19,2123212,76899659990000.0,50488,1140536,0.5372
2015-02-18,BHARTIARTL,EQ,361.35,363.05,363.55,350.5,353.0,352.0,352.76,3072179,108375186680000.0,95036,2024932,0.6591
2015-02-19,BHARTIARTL,EQ,352.0,354.95,358.4,350.2,356.0,356.7,354.48,2755381,97673944865000.0,44456,1610514,0.5845
2015-02-20,BHARTIARTL,EQ,356.7,355.0,358.8,348.25,349.65,349.35,351.74,3670043,129091269630000.0,77198,2446501,0.6666
2015-02-23,BHARTIARTL,EQ,349.35,348.0,350.9,345.2,347.0,347.3,347.52,2172758,75507174055000.0,44860,1287483,0.5926
2015-02-24,BHARTIARTL,EQ,347.3,346.1,349.85,340.1,342.45,342.05,342.62,6661135,228222278610000.0,68346,5177803,0.7773000000000001
2015-02-25,BHARTIARTL,EQ,342.05,346.9,350.5,344.65,349.65,348.6,348.18,2598042,90459559180000.0,36412,1485125,0.5716
2015-02-26,BHARTIARTL,EQ,348.6,350.0,352.6,346.25,347.05,349.35,349.96,4120409,144198738485000.0,60895,2874736,0.6977
2015-02-27,BHARTIARTL,EQ,349.35,349.0,358.1,347.35,358.1,355.2,352.4,3344667,117867694759999.98,77070,2237283,0.6689
2015-02-28,BHARTIARTL,EQ,355.2,356.35,360.85,352.1,355.6,356.25,356.43,1530831,54563201004999.99,42897,555656,0.363
2015-03-02,BHARTIARTL,EQ,356.25,356.3,363.0,345.5,348.75,349.05,352.36,4163665,146709540335000.0,76810,2538194,0.6096
2015-03-03,BHARTIARTL,EQ,349.05,350.0,350.6,343.7,348.5,349.25,347.85,2067018,71901964430000.0,35499,937824,0.4537
2015-03-04,BHARTIARTL,EQ,349.25,352.0,358.4,349.3,350.0,351.25,353.43,3329753,117682151875000.0,69294,1728566,0.5191
2015-03-05,BHARTIARTL,EQ,351.25,351.4,351.9,344.05,347.5,347.9,346.97,3496176,121306817090000.02,53464,2230269,0.6379
2015-03-09,BHARTIARTL,EQ,347.9,346.75,346.75,339.1,343.95,343.45,342.9,3446284,118172729565000.02,59615,2256733,0.6548
2015-03-10,BHARTIARTL,EQ,343.45,342.05,382.3,340.75,367.05,367.95,364.2,11622814,423303825935000.0,131189,5607923,0.4825
2015-03-11,BHARTIARTL,EQ,367.95,370.0,394.0,362.25,390.0,389.55,377.68,12904845,487394328535000.06,145322,6794535,0.5265
2015-03-12,BHARTIARTL,EQ,389.55,389.45,399.9,387.05,394.45,397.8,395.67,16593635,656561527530000.0,158727,10053815,0.6059
2015-03-13,BHARTIARTL,EQ,397.8,398.95,402.7,389.4,400.1,400.25,398.81,11404462,454823901405000.0,129158,6101895,0.535
2015-03-16,BHARTIARTL,EQ,400.25,399.9,399.9,386.2,387.4,388.4,393.17,14064935,552984213080000.0,103870,8499037,0.6043000000000001
2015-03-17,BHARTIARTL,EQ,388.4,392.2,392.4,379.0,385.95,386.55,385.95,11859215,457703724100000.0,51045,9485591,0.7998000000000001
2015-03-18,BHARTIARTL,EQ,386.55,385.9,390.3,381.5,382.0,382.25,384.14,4305526,165390344335000.0,67794,2955262,0.6864
2015-03-19,BHARTIARTL,EQ,382.25,383.0,384.95,379.75,381.5,381.95,382.59,4178353,159860625035000.0,51230,2942715,0.7043
2015-03-20,BHARTIARTL,EQ,381.95,381.0,387.8,377.6,380.7,380.25,381.96,6540065,249802650300000.0,78484,5063535,0.7742
2015-03-23,BHARTIARTL,EQ,380.25,384.0,389.9,378.0,384.5,383.25,384.15,3196617,122798608890000.02,40686,1608171,0.5031
2015-03-24,BHARTIARTL,EQ,383.25,381.8,396.5,381.6,395.15,393.85,393.05,7301973,287003834225000.0,58470,5535467,0.7581
2015-03-25,BHARTIARTL,EQ,393.85,387.0,397.45,386.95,396.0,395.0,394.31,10251492,404223749595000.0,85523,8067348,0.7869
2015-03-26,BHARTIARTL,EQ,395.0,390.0,403.5,390.0,400.0,399.65,399.91,11406895,456173022500000.0,104898,8436380,0.7395999999999999
2015-03-27,BHARTIARTL,EQ,399.65,401.0,404.5,371.1,380.25,376.5,386.22,8433322,325715695385000.0,115544,4921574,0.5836
2015-03-30,BHARTIARTL,EQ,376.5,380.0,392.9,377.6,388.15,389.4,388.57,4656455,180937898010000.0,79078,2472124,0.5309
2015-03-31,BHARTIARTL,EQ,389.4,389.05,395.7,385.0,393.95,393.3,391.56,6047311,236786042390000.0,106307,4296255,0.7104
2015-04-01,BHARTIARTL,EQ,393.3,393.3,404.85,393.05,401.0,402.3,401.27,5494883,220494459375000.0,52894,3630411,0.6607
2015-04-06,BHARTIARTL,EQ,402.3,402.3,409.1,398.45,399.7,400.8,403.83,4348717,175613545540000.0,106049,2720542,0.6256
2015-04-07,BHARTIARTL,EQ,400.8,402.0,410.0,396.2,409.35,404.75,400.68,4228563,169429175035000.0,57065,2750963,0.6506000000000001
2015-04-08,BHARTIARTL,EQ,404.75,407.0,422.85,407.0,419.5,419.15,414.62,5761565,238883592200000.0,75608,3215405,0.5581
2015-04-09,BHARTIARTL,EQ,419.15,419.2,420.5,405.25,405.5,407.2,410.22,4665113,191370882495000.0,57610,2956499,0.6337
2015-04-10,BHARTIARTL,EQ,407.2,407.0,413.9,401.5,409.55,411.95,408.94,4599422,188087602365000.0,49286,2730366,0.5936
2015-04-13,BHARTIARTL,EQ,411.95,409.1,427.0,408.0,425.45,425.7,420.54,3882509,163274157755000.0,60885,1953558,0.5032
2015-04-15,BHARTIARTL,EQ,425.7,425.0,425.0,409.15,414.5,415.15,414.56,3500240,145106129090000.0,53134,1348874,0.3854
2015-04-16,BHARTIARTL,EQ,415.15,416.15,422.95,414.45,417.5,418.0,419.2,3091097,129577407295000.0,52543,1349086,0.4364
2015-04-17,BHARTIARTL,EQ,418.0,419.95,424.7,403.9,404.25,405.95,411.45,5556587,228625228290000.0,85725,3636077,0.6544
2015-04-20,BHARTIARTL,EQ,405.95,403.8,407.6,398.75,402.8,402.3,403.21,3282831,132367796465000.02,64980,1850394,0.5637
2015-04-21,BHARTIARTL,EQ,402.3,397.65,409.95,394.0,398.3,398.3,402.65,3889611,156614049475000.0,51266,2267326,0.5829
2015-04-22,BHARTIARTL,EQ,398.3,397.0,401.3,391.2,400.0,399.4,396.92,4199482,166686949410000.0,45795,2753331,0.6556000000000001
2015-04-23,BHARTIARTL,EQ,399.4,401.8,402.9,397.0,400.0,399.85,400.11,5744973,229860264930000.03,75788,4311138,0.7504000000000001
2015-04-24,BHARTIARTL,EQ,399.85,400.0,403.2,394.95,400.0,399.15,399.84,7402536,295983853820000.0,31251,6458916,0.8725
2015-04-27,BHARTIARTL,EQ,399.15,398.95,403.7,384.15,386.15,391.0,399.22,15164337,605395964975000.0,29785,13963402,0.9208
2015-04-28,BHARTIARTL,EQ,391.0,389.0,409.5,383.4,397.35,400.75,393.24,5188517,204034680860000.0,59578,2101281,0.405
2015-04-29,BHARTIARTL,EQ,400.75,394.0,402.5,383.9,385.3,387.35,396.24,11248419,445712454555000.0,151344,7130191,0.6339
2015-04-30,BHARTIARTL,EQ,387.35,387.45,388.0,371.8,382.0,381.1,378.21,8223433,311017555060000.0,118336,5700744,0.6931999999999999
2015-05-04,BHARTIARTL,EQ,381.1,373.6,394.1,373.6,392.6,392.9,385.98,4528827,174805308800000.0,58707,2938106,0.6487999999999999
2015-05-05,BHARTIARTL,EQ,392.9,392.0,392.0,382.5,387.5,387.05,386.06,2442992,94313133750000.0,40209,1342826,0.5497
2015-05-06,BHARTIARTL,EQ,387.05,393.3,405.0,386.0,389.35,390.2,397.34,13587701,539895907660000.06,181817,7615548,0.5605
2015-05-07,BHARTIARTL,EQ,390.2,389.9,400.5,385.35,393.35,393.65,394.94,7914843,312590476315000.0,147202,4697389,0.5935
2015-05-08,BHARTIARTL,EQ,393.65,397.0,400.0,394.1,397.95,397.95,398.11,5742562,228617060494999.97,123872,4035946,0.7028
2015-05-11,BHARTIARTL,EQ,397.95,397.0,402.75,394.7,398.45,396.2,399.19,4325644,172673480675000.0,67221,3288486,0.7602
2015-05-12,BHARTIARTL,EQ,396.2,396.5,399.35,388.95,391.0,391.55,394.73,6246245,246554905869999.97,94600,4643500,0.7434000000000001
2015-05-13,BHARTIARTL,EQ,391.55,396.0,400.0,380.7,382.15,382.55,387.57,5804576,224965514105000.03,108244,3640056,0.6271
2015-05-14,BHARTIARTL,EQ,382.55,382.0,392.2,380.9,386.7,386.0,387.21,4943211,191403910905000.0,121373,2603728,0.5267000000000001
2015-05-15,BHARTIARTL,EQ,386.0,388.0,395.0,387.0,391.6,392.0,391.9,3895796,152675926975000.0,83924,2533537,0.6503
2015-05-18,BHARTIARTL,EQ,392.0,394.0,399.8,392.0,399.1,397.45,396.9,4385982,174081597865000.0,88228,3092473,0.7051000000000001
2015-05-19,BHARTIARTL,EQ,397.45,398.9,405.0,395.1,395.2,398.0,399.73,5446018,217693127360000.0,74277,3822550,0.7019
2015-05-20,BHARTIARTL,EQ,398.0,397.25,403.85,396.85,400.0,400.55,400.74,5088247,203907201820000.0,87821,3538869,0.6955
2015-05-21,BHARTIARTL,EQ,400.55,401.0,402.7,393.5,394.7,396.45,398.86,2549715,101698837275000.0,65608,1509115,0.5919
2015-05-22,BHARTIARTL,EQ,396.45,395.5,398.7,390.65,393.15,394.9,395.12,3235169,127826518925000.0,58494,2157275,0.6668000000000001
2015-05-25,BHARTIARTL,EQ,394.9,394.9,409.0,392.3,399.0,399.9,402.76,5388695,217037212400000.0,76119,3152083,0.5849000000000001
2015-05-26,BHARTIARTL,EQ,399.9,402.0,406.95,398.2,402.0,400.55,401.8,6289299,252701875044999.97,64807,4502214,0.7159000000000001
2015-05-27,BHARTIARTL,EQ,400.55,400.15,413.1,400.15,410.4,408.75,406.91,5060958,205937624550000.0,65039,3494496,0.6905
2015-05-28,BHARTIARTL,EQ,408.75,412.0,412.75,399.95,401.4,403.0,403.82,7227151,291844586190000.0,93309,5013600,0.6937000000000001
2015-05-29,BHARTIARTL,EQ,403.0,402.75,435.0,402.3,413.1,425.6,422.66,67772622,2864458803525000.0,282077,54335942,0.8017000000000001
2015-06-01,BHARTIARTL,EQ,425.6,415.95,420.95,410.2,414.8,416.6,416.52,4260493,177459917480000.0,56657,2340838,0.5494
2015-06-02,BHARTIARTL,EQ,416.6,420.35,424.5,412.75,417.5,418.1,418.42,4289191,179469239820000.0,117181,2055272,0.4792
2015-06-03,BHARTIARTL,EQ,418.1,418.15,423.0,409.2,420.0,420.7,416.73,3654504,152293400985000.0,128659,2032641,0.5562
2015-06-04,BHARTIARTL,EQ,420.7,420.5,424.4,414.0,415.55,416.4,418.7,3272393,137015327775000.0,134194,2003388,0.6122
2015-06-05,BHARTIARTL,EQ,416.4,417.0,422.35,413.8,416.0,415.6,417.67,4981553,208065613435000.0,155689,3527572,0.7081000000000001
2015-06-08,BHARTIARTL,EQ,415.6,417.35,417.9,408.05,411.5,410.55,411.96,2846903,117282291800000.0,63098,1726808,0.6066
2015-06-09,BHARTIARTL,EQ,410.55,412.0,412.0,402.85,407.4,407.95,406.84,2715768,110489318545000.0,42776,1682508,0.6195
